id,name,category,free_type,access,difficulty,platforms,account_required,card_required,commercial_use,privacy,license,homepage,source_url,last_verified,status,confidence
hugging-face-agents-course,Hugging Face Agents Course,learning,open-source,cloud,intermediate,web|windows|macos|linux,False,False,yes,configurable,Apache-2.0,https://github.com/huggingface/agents-course,https://github.com/huggingface/agents-course,2026-08-04,active,high
hugging-face-llm-course,Hugging Face LLM Course,learning,free-tier,cloud,intermediate,web,False,False,yes,provider-processed,Apache-2.0,https://huggingface.co/learn/llm-course/chapter1/1,https://huggingface.co/learn/llm-course/chapter1/1,2026-08-04,active,high
microsoft-ai-for-beginners,Microsoft AI for Beginners,learning,open-source,cloud,beginner,web|windows|macos|linux,False,False,yes,local,MIT,https://github.com/microsoft/AI-For-Beginners,https://github.com/microsoft/AI-For-Beginners,2026-08-04,active,high
microsoft-generative-ai-for-beginners,Microsoft Generative AI for Beginners,learning,open-source,cloud,beginner,web|windows|macos|linux,False,False,yes,configurable,MIT,https://github.com/microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,2026-08-04,active,high
fastai-course,Practical Deep Learning for Coders,learning,free-tier,cloud,intermediate,web,False,False,depends,provider-processed,,https://course.fast.ai/,https://course.fast.ai/,2026-08-04,active,high
gpt4all,GPT4All,local-runtime,open-source,local,beginner,windows|macos|linux,False,False,check-license,local,MIT,https://github.com/nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,2026-08-04,watch,high
llama-cpp-python,llama-cpp-python,local-runtime,open-source,local,intermediate,windows|macos|linux,False,False,yes,local,MIT,https://github.com/abetlen/llama-cpp-python,https://github.com/abetlen/llama-cpp-python,2026-08-04,active,high
llama-cpp,llama.cpp,local-runtime,open-source,local,advanced,windows|macos|linux,False,False,yes,local,MIT,https://github.com/ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,2026-08-04,active,high
lm-studio,LM Studio,local-runtime,free-tier,local,beginner,windows|macos|linux,False,False,check-license,local,proprietary,https://lmstudio.ai,https://lmstudio.ai,2026-08-04,active,high
localai,LocalAI,local-runtime,open-source,local,intermediate,linux|docker,False,False,check-license,local,MIT,https://github.com/mudler/LocalAI,https://github.com/mudler/LocalAI,2026-08-04,active,high
ollama,Ollama,local-runtime,open-source,local,beginner,windows|macos|linux,False,False,yes,local,MIT,https://github.com/ollama/ollama,https://github.com/ollama/ollama,2026-08-04,active,high
bentoml,BentoML,ml-framework,open-source,local,intermediate,linux|docker,False,False,yes,local,Apache-2.0,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,2026-08-04,active,high
jax,JAX,ml-framework,open-source,local,advanced,linux|docker,False,False,yes,local,Apache-2.0,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax,2026-08-04,active,high
keras,Keras,ml-framework,open-source,local,beginner,windows|macos|linux,False,False,yes,local,Apache-2.0,https://github.com/keras-team/keras,https://github.com/keras-team/keras,2026-08-04,active,high
mlflow,MLflow,ml-framework,open-source,local,intermediate,windows|macos|linux,False,False,yes,local,Apache-2.0,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,2026-08-04,active,high
pytorch,PyTorch,ml-framework,open-source,local,intermediate,windows|macos|linux,False,False,yes,local,BSD-3-Clause,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,2026-08-04,active,high
scikit-learn,scikit-learn,ml-framework,open-source,local,beginner,windows|macos|linux,False,False,yes,local,BSD-3-Clause,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,2026-08-04,active,high
tensorflow,TensorFlow,ml-framework,open-source,local,intermediate,windows|macos|linux|docker,False,False,yes,local,Apache-2.0,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2026-08-04,active,high
transformers,Transformers,ml-framework,open-source,local,intermediate,windows|macos|linux,False,False,yes,local,Apache-2.0,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,2026-08-04,active,high
civitai,Civitai,model-hub,free-tier,cloud,beginner,windows|macos|linux,True,False,check-license,provider-processed,varies,https://civitai.com,https://civitai.com,2026-08-04,active,high
hugging-face-hub,Hugging Face Hub,model-hub,free-tier,cloud,beginner,windows|macos|linux,True,False,check-license,provider-processed,Apache-2.0,https://github.com/huggingface/huggingface_hub,https://github.com/huggingface/huggingface_hub,2026-08-04,active,high
dspy,DSPy,rag,open-source,local,advanced,windows|macos|linux,False,False,yes,local,MIT,https://github.com/stanfordnlp/dspy,https://github.com/stanfordnlp/dspy,2026-08-04,active,high
llamaindex,LlamaIndex,rag,open-source,local,intermediate,windows|macos|linux,False,False,yes,local,MIT,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,2026-08-04,active,high
audiocraft,AudioCraft,speech,open-source,local,intermediate,windows|macos|linux,False,False,yes,local,MIT,https://github.com/facebookresearch/audiocraft,https://github.com/facebookresearch/audiocraft,2026-08-04,active,high
bark,Bark,speech,open-source,local,intermediate,windows|macos|linux,False,False,yes,local,MIT,https://github.com/suno-ai/bark,https://github.com/suno-ai/bark,2026-08-04,active,high
coqui-tts,Coqui TTS,speech,open-source,local,intermediate,windows|macos|linux,False,False,yes,local,Apache-2.0,https://github.com/coqui-ai/TTS,https://github.com/coqui-ai/TTS,2026-08-04,active,high
edge-tts,Edge TTS,speech,free-tier,cloud,beginner,windows|macos|linux,False,False,check-license,provider-processed,GPL-3.0,https://github.com/rany2/edge-tts,https://github.com/rany2/edge-tts,2026-08-04,active,high
elevenlabs,ElevenLabs,speech,free-tier,cloud,beginner,windows|macos|linux,True,False,check-license,provider-processed,proprietary,https://elevenlabs.io,https://elevenlabs.io,2026-08-04,active,high
faster-whisper,Faster Whisper,speech,open-source,local,intermediate,windows|macos|linux,False,False,yes,local,MIT,https://github.com/SYSTRAN/faster-whisper,https://github.com/SYSTRAN/faster-whisper,2026-08-04,active,high
openai-whisper,OpenAI Whisper,speech,open-source,local,intermediate,windows|macos|linux,False,False,yes,local,MIT,https://github.com/openai/whisper,https://github.com/openai/whisper,2026-08-04,active,high
playht,PlayHT,speech,free-tier,cloud,beginner,windows|macos|linux,True,False,check-license,provider-processed,proprietary,https://play.ht,https://play.ht,2026-08-07,deprecated,high
pyannote-audio,Pyannote Audio,speech,open-source,local,intermediate,windows|macos|linux,False,False,check-license,local,MIT,https://github.com/pyannote/pyannote-audio,https://github.com/pyannote/pyannote-audio,2026-08-04,active,high
whisper-cpp,whisper.cpp,speech,open-source,local,intermediate,windows|macos|linux,False,False,yes,local,MIT,https://github.com/ggerganov/whisper.cpp,https://github.com/ggerganov/whisper.cpp,2026-08-04,active,high
whisperx,WhisperX,speech,open-source,local,intermediate,windows|macos|linux,False,False,yes,local,MIT,https://github.com/m-bain/whisperX,https://github.com/m-bain/whisperX,2026-08-04,active,high
chroma,Chroma,vector-database,open-source,local,intermediate,windows|macos|linux|docker,False,False,yes,local,Apache-2.0,https://github.com/chroma-core/chroma,https://github.com/chroma-core/chroma,2026-08-04,active,high
faiss,Faiss,vector-database,open-source,local,advanced,windows|macos|linux,False,False,yes,local,MIT,https://github.com/facebookresearch/faiss,https://github.com/facebookresearch/faiss,2026-08-04,active,high
milvus,Milvus,vector-database,open-source,local,advanced,linux|docker,False,False,yes,local,Apache-2.0,https://github.com/milvus-io/milvus,https://github.com/milvus-io/milvus,2026-08-04,active,high
qdrant,Qdrant,vector-database,open-source,local,intermediate,linux|docker,False,False,yes,local,Apache-2.0,https://github.com/qdrant/qdrant,https://github.com/qdrant/qdrant,2026-08-04,active,high
weaviate,Weaviate,vector-database,open-source,local,intermediate,linux|docker,False,False,yes,local,BSD-3-Clause,https://github.com/weaviate/weaviate,https://github.com/weaviate/weaviate,2026-08-04,active,high
